n_uni_tokens,n_bpe_tokens,n_chars,n_lines,valid_uni_chunk,valid_bpe_chunk
85,86,304,9,False,False
94,99,342,7,False,False
86,85,308,7,False,False
86,89,315,6,False,False
85,87,309,7,False,False
89,90,317,7,False,False
85,85,311,7,False,False
80,81,318,7,False,False
261,268,943,16,True,True
87,90,310,9,False,False
100,102,337,7,False,False
82,86,307,6,False,False
93,98,335,5,False,False
79,80,302,5,False,False
109,110,364,6,False,False
100,101,339,5,False,False
102,105,364,7,False,False
107,108,358,7,False,False
92,96,342,8,False,False
94,91,323,7,False,False
87,90,325,7,False,False
95,97,340,7,False,False
92,93,317,7,False,False
91,93,324,7,False,False
104,104,339,8,False,False
83,87,307,6,False,False
89,94,322,8,False,False
85,87,306,7,False,False
85,90,308,6,False,False
106,104,322,7,False,False
204,212,666,15,True,True
92,94,344,6,False,False
90,89,324,7,False,False
76,80,319,5,False,False
86,92,328,6,False,False
97,98,328,6,False,False
94,99,326,6,False,False
88,91,302,5,False,False
83,83,306,5,False,False
98,101,336,7,False,False
97,101,344,7,False,False
100,101,337,7,False,False
175,91,499,8,True,False
306,322,1048,20,True,True
106,108,430,9,False,False
214,226,755,12,True,True
100,99,354,8,False,False
94,100,353,6,False,False
85,86,333,5,False,False
78,77,329,5,False,False
107,107,349,6,False,False
92,94,309,7,False,False
105,103,313,5,False,False
111,111,343,6,False,False
91,87,324,9,False,False
90,93,318,8,False,False
102,108,322,6,False,False
97,97,325,6,False,False
93,90,314,7,False,False
91,92,310,7,False,False
82,83,310,5,False,False
96,95,332,6,False,False
96,103,327,7,False,False
105,106,331,9,False,False
111,107,331,7,False,False
147,148,515,10,True,True
161,167,544,10,True,True
73,78,315,6,False,False
91,91,302,8,False,False
87,86,327,7,False,False
105,108,345,8,False,False
88,89,307,8,False,False
93,94,320,7,False,False
100,101,338,8,False,False
79,83,318,7,False,False
84,88,362,6,False,False
86,87,303,6,False,False
81,81,350,8,False,False
79,83,323,8,False,False
119,120,406,9,False,False
82,85,313,7,False,False
100,101,342,8,False,False
96,97,314,8,False,False
102,100,342,8,False,False
90,92,327,6,False,False
87,91,310,8,False,False
91,96,343,8,False,False
102,105,328,7,False,False
111,112,358,8,False,False
89,89,305,6,False,False
89,91,330,6,False,False
93,96,346,6,False,False
111,107,356,6,False,False
106,106,334,7,False,False
86,91,322,5,False,False
95,95,307,7,False,False
96,99,308,6,False,False
105,104,308,6,False,False
94,95,301,7,False,False
104,104,358,6,False,False
109,107,348,6,False,False
250,247,811,15,True,True
258,268,877,16,True,True
111,115,480,10,False,False
80,77,315,8,False,False
354,356,1091,20,True,True
194,199,645,12,True,True
82,81,302,9,False,False
92,94,326,7,False,False
87,90,304,7,False,False
92,96,327,7,False,False
88,90,306,6,False,False
96,100,357,6,False,False
90,97,333,8,False,False
90,96,331,7,False,False
92,93,338,6,False,False
77,78,301,5,False,False
90,93,323,6,False,False
82,88,329,5,False,False
81,84,308,5,False,False
78,80,312,6,False,False
175,91,499,8,True,False
182,186,668,13,True,True
89,86,319,9,False,False
93,90,314,6,False,False
96,96,337,7,False,False
95,94,322,9,False,False
83,89,302,7,False,False
85,84,307,7,False,False
91,88,311,6,False,False
100,98,326,7,False,False
96,97,302,5,False,False
101,101,342,7,False,False
95,96,319,5,False,False
92,101,319,7,False,False
89,99,326,5,False,False
85,89,313,6,False,False
96,96,312,6,False,False
